1,"Ding, Liren",GM,CHN,2809,1992
2,"Yu, Yangyi",GM,CHN,2751,1994
3,"Bu, Xiangzhi",GM,CHN,2729,1985
4,"Wei, Yi",GM,CHN,2728,1999
5,"Wang, Hao",GM,CHN,2726,1989
6,"Li, Chao b",GM,CHN,2699,1989
7,"Wang, Yue",GM,CHN,2684,1987
8,"Ni, Hua",GM,CHN,2674,1983
9,"Hou, Yifan",GM,CHN,2662,1994
10,"Ma, Qun",GM,CHN,2630,1991
11,"Zhao, Jun",GM,CHN,2627,1986
12,"Lu, Shanglei",GM,CHN,2625,1995
13,"Zhou, Jianchao",GM,CHN,2623,1988
14,"Wen, Yang",GM,CHN,2604,1988
15,"Bai, Jinshi",GM,CHN,2604,1999
16,"Zhou, Weiqi",GM,CHN,2588,1986
17,"Ju, Wenjun",GM,CHN,2587,1991
18,"Xu, Xiangyu",GM,CHN,2576,1999
19,"Xu, Yi",GM,CHN,2545,1998
20,"Gao, Rui",GM,CHN,2543,1992
21,"Liu, Qingnan",GM,CHN,2543,1992
22,"Zeng, Chongsheng",GM,CHN,2539,1993
23,"Xiu, Deshun",GM,CHN,2538,1989
24,"Xu, Yinglun",GM,CHN,2532,1996
25,"Wan, Yunguo",GM,CHN,2531,1990
26,"Li, Di",GM,CHN,2529,1999
27,"Tan, Zhongyi",GM,CHN,2528,1991
28,"Lin, Chen",GM,CHN,2508,1988
29,"Li, Shilong",GM,CHN,2507,1977
30,"Liu, Yan",GM,CHN,2502,2000
31,"Xu, Zhihang",IM,CHN,2501,2001
32,"Lei, Tingjie",GM,CHN,2497,1997
33,"Ma, Zhonghan",IM,CHN,2488,1995
34,"Xu, Jun",GM,CHN,2487,1962
35,"Zhao, Xue",GM,CHN,2485,1985
36,"Lou, Yiping",IM,CHN,2482,1991
37,"Yu, Ruiyuan",GM,CHN,2479,1991
38,"Wang, Yanbin",,CHN,2474,2002
39,"Dai, Changren",GM,CHN,2472,1999
40,"Fang, Yuxiang",GM,CHN,2472,1996
41,"Wang, Chen",IM,CHN,2468,1993
42,"Liu, Guanchu",IM,CHN,2466,1994
43,"Yu, Shaoteng",GM,CHN,2462,1979
44,"Peng, Xiongjian",GM,CHN,2459,2000
45,"Shen, Yang",IM,CHN,2454,1989
46,"Liang, Jinrong",GM,CHN,2452,1960
47,"Ni, Shiqun",WGM,CHN,2445,1997
48,"Huang, Qian",WGM,CHN,2443,1986
49,"Zhu, Jiner",GM,CHN,2439,2002
50,"Wang, Yiye",IM,CHN,2439,1998
51,"Ding, Yixin",WGM,CHN,2434,1991
52,"Li, Yankai",IM,CHN,2432,1997
53,"Zhao, Yuanhe",IM,CHN,2431,2000
54,"Xie, Jianjun",FM,CHN,2427,1977
55,"Xiang, Zeyu",IM,CHN,2427,1999
56,"Chen, Qi b",IM,CHN,2424,2000
57,"Fang, Yan",IM,CHN,2424,1996
58,"Mu, Ke",IM,CHN,2414,1987
59,"Zhang, Ziji",IM,CHN,2414,1996
60,"Bao, Qilin",IM,CHN,2412,1993
61,"Zhang, Ziyang",IM,CHN,2409,1988
62,"Zou, Chen",IM,CHN,2397,2001
63,"Wang, Shixu B",IM,CHN,2392,2001
64,"Chu, Wei Chao",IM,CHN,2387,1996
65,"Wang, Pin",WGM,CHN,2387,1974
66,"Liu, Zhaoqi",IM,CHN,2386,1998
67,"Yu, Kaifeng",FM,CHN,2385,2003
68,"Lin, Yi",IM,CHN,2383,2003
69,"Chen, Fan",FM,CHN,2378,1971
70,"Xu, Minghui",,CHN,2374,1999
71,"Yuan, Qingyu",,CHN,2374,0
72,"Zhao, Chenxi",,CHN,2367,2002
73,"Zhai, Mo",WGM,CHN,2365,1996
74,"Wang, Jue",WGM,CHN,2364,1995
75,"Guo, Qi",IM,CHN,2359,1995
76,"Pang, Tao",IM,CHN,2354,2001
77,"Peng, Hongchi",,CHN,2347,2002
78,"Nie, Xinyang",IM,CHN,2346,2000
79,"Huang, Renjie",,CHN,2339,2004
80,"Zhang, Xiaopeng",FM,CHN,2339,1993
81,"Shen, Siyuan",IM,CHN,2334,1986
82,"Lan, Zilun",,CHN,2333,1995
83,"Zuo, Yifan",CM,CHN,2330,2005
84,"Chen, Peng",IM,CHN,2328,1994
85,"Li, Hong",FM,CHN,2328,1987
86,"Li, Bo",IM,CHN,2325,1985
87,"Li, Ruofan",IM,CHN,2325,1978
88,"Yu, Lie",IM,CHN,2315,1989
89,"Zhang, Xiaowen",WGM,CHN,2314,1989
90,"Gu, Xiaobing",WGM,CHN,2314,1985
91,"Zhang, Xuan",FM,CHN,2313,1986
92,"Zhu, Yi",FM,CHN,2312,2001
93,"Liu, Bairu",,CHN,2310,1982
94,"Song, Yuxin",IM,CHN,2305,2005
95,"Xiao, Yiyi",WGM,CHN,2296,1996
96,"Wang, Yu A.",IM,CHN,2292,1982
97,"Xu, Hanbing",,CHN,2289,1984
98,"Zhou, Jiangnan",,CHN,2287,2000
99,"Li, Xueyi",WGM,CHN,2286,1993
100,"Ning, Chunhong",WGM,CHN,2280,1968
