1,"Ding, Liren",GM,CHN,2762,1992
2,"Wei, Yi",GM,CHN,2755,1999
3,"Yu, Yangyi",GM,CHN,2728,1994
4,"Wang, Hao",GM,CHN,2702,1989
5,"Bu, Xiangzhi",GM,CHN,2684,1985
6,"Wang, Yue",GM,CHN,2654,1987
7,"Li, Chao b",GM,CHN,2651,1989
8,"Ni, Hua",GM,CHN,2649,1983
9,"Ma, Qun",GM,CHN,2641,1991
10,"Hou, Yifan",GM,CHN,2632,1994
11,"Xu, Xiangyu",GM,CHN,2626,1999
12,"Lu, Shanglei",GM,CHN,2611,1995
13,"Zhou, Weiqi",GM,CHN,2599,1986
14,"Zeng, Chongsheng",GM,CHN,2592,1993
15,"Bai, Jinshi",GM,CHN,2586,1999
16,"Ye, Jiangchuan",GM,CHN,2585,1960
17,"Wen, Yang",GM,CHN,2575,1988
18,"Liu, Yan",GM,CHN,2574,2000
19,"Li, Di",GM,CHN,2568,1999
20,"Zhang, Pengxiang",GM,CHN,2567,1980
21,"Zhou, Jianchao",GM,CHN,2565,1988
22,"Zhang, Zhong",GM,CHN,2561,1978
23,"Ju, Wenjun",GM,CHN,2559,1991
24,"Lei, Tingjie",GM,CHN,2550,1997
25,"Zhao, Jun",GM,CHN,2545,1986
26,"Liu, Qingnan",GM,CHN,2540,1992
27,"Gao, Rui",GM,CHN,2534,1992
28,"Peng, Xiongjian",GM,CHN,2521,2000
29,"Tan, Zhongyi",GM,CHN,2521,1991
30,"Xu, Yinglun",GM,CHN,2515,1996
31,"Xu, Zhihang",IM,CHN,2511,2001
32,"Xiu, Deshun",GM,CHN,2510,1989
33,"Wan, Yunguo",GM,CHN,2505,1990
34,"Pang, Tao",IM,CHN,2501,2001
35,"Dai, Changren",GM,CHN,2501,1999
36,"Xu, Yi",GM,CHN,2495,1998
37,"Lin, Chen",GM,CHN,2488,1988
38,"Huang, Renjie",,CHN,2487,2004
39,"Wang, Chen",IM,CHN,2485,1993
40,"Xiao, Tong(QD)",,CHN,2484,2008
41,"Yu, Ruiyuan",GM,CHN,2480,1991
42,"Zhao, Yuanhe",IM,CHN,2477,2000
43,"Ma, Zhonghan",IM,CHN,2469,1995
44,"Chen, Qi b",IM,CHN,2469,2000
45,"Xu, Jun",GM,CHN,2465,1962
46,"Zhu, Jiner",GM,CHN,2463,2002
47,"Lou, Yiping",IM,CHN,2458,1991
48,"Xue, Haowen",,CHN,2452,2008
49,"Chen, Peng",IM,CHN,2450,1994
50,"Zou, Chen",IM,CHN,2449,2001
51,"Xiang, Zeyu",IM,CHN,2444,1999
52,"Fang, Yan",IM,CHN,2444,1996
53,"Zhao, Xue",GM,CHN,2442,1985
54,"Lu, Miaoyi",WGM,CHN,2438,2010
55,"Nie, Xinyang",IM,CHN,2433,2000
56,"Wang, Yiye",IM,CHN,2432,1998
57,"Wang, Shixu B",IM,CHN,2429,2001
58,"Liu, Guanchu",IM,CHN,2426,1994
59,"Zhao, Chenxi",,CHN,2421,2002
60,"Chu, Wei Chao",IM,CHN,2420,1996
61,"Wang, Yanbin",,CHN,2415,2002
62,"Li, Shilong",GM,CHN,2412,1977
63,"Li, Yankai",IM,CHN,2409,1997
64,"Jin, Yueheng",,CHN,2407,2008
65,"Peng, Hongchi",,CHN,2407,2002
66,"Liu, Zhaoqi",IM,CHN,2402,1998
67,"Mu, Ke",IM,CHN,2402,1987
68,"Kong, Xiangrui",,CHN,2401,2009
69,"Ding, Yixin",WGM,CHN,2397,1991
70,"Shen, Yang",IM,CHN,2396,1989
71,"Huang, Qian",WGM,CHN,2396,1986
72,"Wang, Tongsen",,CHN,2395,1997
73,"Xie, Kaifan",CM,CHN,2393,2008
74,"Zhang, Ziji",IM,CHN,2392,1996
75,"Du, Chunhui",,CHN,2391,1987
76,"Wang, Pin",WGM,CHN,2389,1974
77,"Xie, Jianjun",FM,CHN,2384,1977
78,"Xu, Minghui",,CHN,2383,1999
79,"Lin, Weiguo",IM,CHN,2382,1970
80,"Jiang, Haochen",,CHN,2381,2011
81,"Song, Yuxin",IM,CHN,2379,2005
82,"Guo, Qi",IM,CHN,2378,1995
83,"Chen, Yining",FM,CHN,2363,2009
84,"Yuan, Qingyu",,CHN,2360,0
85,"Wu, Yixing",,CHN,2348,2007
86,"Gu, Xianghan",,CHN,2342,2006
87,"Zhai, Mo",WGM,CHN,2342,1996
88,"Xiao, Yiyi",WGM,CHN,2342,1996
89,"Li, Guohao",,CHN,2331,2003
90,"Chen, KaiLin",,CHN,2329,2007
91,"Liu, Zexu",,CHN,2325,1995
92,"Li, Ruofan",IM,CHN,2321,1978
93,"Zhang, Xuan",FM,CHN,2321,1986
94,"Ni, Shiqun",WGM,CHN,2320,1997
95,"Jiang, Qinyu",,CHN,2319,2005
96,"Ning, Kaiyu",WIM,CHN,2308,2004
97,"Lan, Zilun",,CHN,2308,1995
98,"Zhang, Di",,CHN,2303,2007
99,"Yan, Tianqi",WIM,CHN,2303,2002
100,"Zuo, Yifan",CM,CHN,2302,2005
