1,"Wei, Yi",GM,CHN,2728,1999
2,"Bai, Jinshi",GM,CHN,2604,1999
3,"Xu, Xiangyu",GM,CHN,2576,1999
4,"Li, Di",GM,CHN,2529,1999
5,"Liu, Yan",GM,CHN,2502,2000
6,"Xu, Zhihang",IM,CHN,2501,2001
7,"Wang, Yanbin",,CHN,2474,2002
8,"Dai, Changren",GM,CHN,2472,1999
9,"Peng, Xiongjian",GM,CHN,2459,2000
10,"Zhu, Jiner",GM,CHN,2439,2002
11,"Zhao, Yuanhe",IM,CHN,2431,2000
12,"Xiang, Zeyu",IM,CHN,2427,1999
13,"Chen, Qi b",IM,CHN,2424,2000
14,"Zou, Chen",IM,CHN,2397,2001
15,"Wang, Shixu B",IM,CHN,2392,2001
16,"Yu, Kaifeng",FM,CHN,2385,2003
17,"Lin, Yi",IM,CHN,2383,2003
18,"Xu, Minghui",,CHN,2374,1999
19,"Zhao, Chenxi",,CHN,2367,2002
20,"Pang, Tao",IM,CHN,2354,2001
21,"Peng, Hongchi",,CHN,2347,2002
22,"Nie, Xinyang",IM,CHN,2346,2000
23,"Huang, Renjie",,CHN,2339,2004
24,"Zuo, Yifan",CM,CHN,2330,2005
25,"Zhu, Yi",FM,CHN,2312,2001
26,"Song, Yuxin",IM,CHN,2305,2005
27,"Zhou, Jiangnan",,CHN,2287,2000
28,"Li, Wenxiang",,CHN,2260,2002
29,"Ning, Kaiyu",WIM,CHN,2224,2004
30,"Xi, Qi",,CHN,2222,2003
31,"Wu, huanghui",,CHN,2217,2004
32,"Sun, Yidi",,CHN,2212,2004
33,"Zhang, Lanlin",,CHN,2192,1999
34,"Chu, Ruotong",WIM,CHN,2180,2001
35,"Zhang, Fuhan",,CHN,2174,2004
36,"Shen, Shiyan",,CHN,2170,2006
37,"Ma, Lin",,CHN,2167,2002
38,"Zhang, Xiao",,CHN,2141,2003
39,"Yang, Yijing",WCM,CHN,2135,2001
40,"Zhao, Shengxin",WFM,CHN,2120,2001
41,"Wang, Zideng",CM,CHN,2117,2004
42,"Yuan, Ye",,CHN,2117,2000
43,"Ren, Yitian",,CHN,2110,1999
44,"Gao,Mingze",,CHN,2104,2006
45,"Bai, Xue",,CHN,2103,2003
46,"Li, Guohao",,CHN,2097,2003
47,"Zhang, Yifan(A)",,CHN,2092,2004
48,"Xu, Yuze",,CHN,2083,2004
49,"Wen, Yili",,CHN,2082,2004
50,"Yan, Tianqi",WIM,CHN,2079,2002
51,"Chen, KaiLin",,CHN,2073,2007
52,"Jiang, Qinyu",,CHN,2067,2005
53,"Sun, Chao",,CHN,2066,2002
54,"Wang,Xinyuan",,CHN,2060,2000
55,"Li,Xinyu",WFM,CHN,2053,2002
56,"Hu, Yu A.",,CHN,2051,1999
57,"Zhu, Hengyi",,CHN,2015,2004
58,"Liu, Kaiyi",,CHN,2009,2004
59,"Cai, Yuhao",,CHN,2006,2004
60,"Gu, Jiazhen",,CHN,2005,2004
61,"Tong, Yan",,CHN,1999,2001
62,"Li, Dongcheng",,CHN,1996,1999
63,"Jin, Yueheng",,CHN,1993,2008
64,"Huang, Mofei",,CHN,1993,1999
65,"Lin, Peisen",,CHN,1991,2002
66,"Sun, Jiajun B",,CHN,1987,2006
67,"Xiao, Tong(QD)",,CHN,1982,2008
68,"Xiao, Ziwen",,CHN,1981,1999
69,"Zhang, Yuxuan",,CHN,1977,2002
70,"Du, Yuxin",,CHN,1973,2001
71,"Du, Wenyang",,CHN,1970,2001
72,"Xie, Kaifan",CM,CHN,1969,2008
73,"Wan, Qian",WFM,CHN,1967,2005
74,"Liu, Chuan",,CHN,1966,2006
75,"Zhang, Di",,CHN,1966,2007
76,"Zhang, Yinzhe",,CHN,1966,2002
77,"Jiang, Zhaoyi",WCM,CHN,1952,1999
78,Cai Youyang,,CHN,1951,2004
79,Lin Zhaochen,,CHN,1934,1999
80,"Wang, Zijian",,CHN,1933,2004
81,"Hou, Yifan b",,CHN,1931,2005
82,"Zhou, Hao",,CHN,1930,2002
83,"Yang, Bokai",,CHN,1927,2005
84,"Chen, Junhong",,CHN,1924,1999
85,"Xue, Haowen",,CHN,1917,2008
86,"Liu, Aiwei",,CHN,1916,2003
87,"Gu, Yufei",,CHN,1914,2004
88,"Chen, Yuan",,CHN,1902,2007
89,"Han,Junyang",,CHN,1902,2002
90,"Wang, Xiaoyan",,CHN,1899,2004
91,"Zheng, Fangbing",,CHN,1891,2000
92,"Li, Yimin",,CHN,1878,2001
93,"Guo, Shuo",,CHN,1875,2001
94,"Wang,Ze",,CHN,1869,2001
95,"Cui, Yige",,CHN,1864,2006
96,"He, Yichen",,CHN,1863,2006
97,"Gao, Linhao",,CHN,1859,2004
98,"Zhou, Chuheng",,CHN,1859,2003
99,"Lu, Juncheng",,CHN,1857,2004
100,"Gao, Kai",,CHN,1855,2001
