1,"Anand, Viswanathan",GM,IND,2774,1969
2,"Harikrishna, Pentala",GM,IND,2723,1986
3,"Vidit, Santosh Gujrathi",GM,IND,2717,1994
4,"Adhiban, B.",GM,IND,2701,1992
5,"Sasikiran, Krishnan",GM,IND,2673,1981
6,"Ganguly, Surya Shekhar",GM,IND,2654,1983
7,"Negi, Parimarjan",GM,IND,2639,1993
8,"Sethuraman, S.P.",GM,IND,2624,1993
9,Narayanan S L,GM,IND,2603,1998
10,"Aravindh, Chithambaram VR.",GM,IND,2602,1999
11,"Gupta, Abhijeet",GM,IND,2602,1989
12,"Vaibhav, Suri",GM,IND,2599,1997
13,"Karthikeyan, Murali",GM,IND,2596,1999
14,Nihal Sarin,GM,IND,2589,2004
15,Gopal G.N.,GM,IND,2589,1989
16,Lalit Babu M R,GM,IND,2577,1993
17,"Ghosh, Diptayan",GM,IND,2555,1998
18,Kannappan Priyadharshan,GM,IND,2553,1993
19,"Sengupta, Deep",GM,IND,2551,1988
20,"Koneru, Humpy",GM,IND,2549,1987
21,"Puranik, Abhimanyu",GM,IND,2548,2000
22,Aryan Chopra,GM,IND,2547,2001
23,"Debashis, Das",GM,IND,2538,1993
24,Praggnanandhaa R,GM,IND,2537,2005
25,Gukesh D,GM,IND,2536,2006
26,Deepan Chakkravarthy J.,GM,IND,2534,1987
27,"Narayanan, Srinath",GM,IND,2529,1994
28,Erigaisi Arjun,GM,IND,2526,2003
29,"Chanda, Sandipan",GM,IND,2521,1983
30,"Shyam, Sundar M.",GM,IND,2519,1992
31,"Venkatesh, M.R.",GM,IND,2517,1985
32,Vishnu Prasanna. V,GM,IND,2515,1989
33,"Stany, G.A.",GM,IND,2514,1993
34,"Iniyan, Pa",GM,IND,2512,2002
35,"Grover, Sahaj",GM,IND,2511,1995
36,Visakh N R,GM,IND,2509,1999
37,Karthik Venkataraman,GM,IND,2505,1999
38,"Anurag, Mhamal",GM,IND,2504,1995
39,"Panchanathan, Magesh Chandran",GM,IND,2500,1983
40,Harsha Bharathakoti,GM,IND,2497,2000
41,"Ashwin, Jayaram",GM,IND,2494,1990
42,"Dronavalli, Harika",GM,IND,2492,1991
43,"Swapnil, S. Dhopade",GM,IND,2488,1990
44,"Kunte, Abhijit",GM,IND,2485,1977
45,"Gagare, Shardul",GM,IND,2482,1997
46,Krishna C R G,IM,IND,2481,1991
47,"Saptarshi, Roy",GM,IND,2480,1986
48,Prithu Gupta,GM,IND,2478,2004
49,"Swayams, Mishra",GM,IND,2478,1992
50,"Sadhwani, Raunak",GM,IND,2475,2005
51,"Ankit, R. Rajpara",GM,IND,2462,1994
52,Sreeshwan Maralakshikari,IM,IND,2462,2006
53,Prasanna Raghuram Rao,IM,IND,2460,1994
54,"Thejkumar, M. S.",GM,IND,2458,1981
55,Aditya Mittal,GM,IND,2457,2006
56,Vignesh N R,GM,IND,2457,1998
57,"Bakre, Tejas",GM,IND,2447,1981
58,"Himanshu, Sharma",GM,IND,2446,1983
59,Arjun Kalyan,GM,IND,2445,2002
60,"Das, Arghyadip",IM,IND,2445,1985
61,"Karthikeyan, P.",GM,IND,2445,1990
62,"Akash Pc, Iyer",IM,IND,2441,1997
63,"Girish, A. Koushik",GM,IND,2437,1997
64,Mohammad Nubairshah Shaikh,IM,IND,2436,1998
65,"Sammed Jaykumar, Shete",IM,IND,2432,1999
66,Raja Harshit,GM,IND,2432,2001
67,Divya Deshmukh,IM,IND,2431,2005
68,Shyaamnikhil P,IM,IND,2429,1992
69,"Laxman, R.R.",GM,IND,2428,1983
70,"Mendonca, Leon Luke",GM,IND,2427,2006
71,"Bitan, Banerjee",IM,IND,2427,1993
72,Muthaiah AL,IM,IND,2423,1999
73,"Das, Sayantan",GM,IND,2418,1997
74,Manu David Suthandram R,FM,IND,2418,2001
75,"Srinath, Rao S.V.",IM,IND,2416,1997
76,"Akshat, Khamparia",IM,IND,2415,1989
77,Akash G,GM,IND,2414,1996
78,"Sundararajan, Kidambi",GM,IND,2413,1982
79,"Rajesh, V A V",IM,IND,2411,1995
80,Harshavardhan G B,IM,IND,2411,2003
81,"Neelotpal, Das",GM,IND,2410,1982
82,"Barua, Dibyendu",GM,IND,2409,1966
83,Harikrishnan.A.Ra,IM,IND,2407,2001
84,Rakesh Kumar Jena,IM,IND,2405,2001
85,"Thipsay, Praveen M",GM,IND,2405,1959
86,Manush Shah,IM,IND,2405,1997
87,Koustav Chatterjee,GM,IND,2404,2003
88,"Soumya, Swaminathan",IM,IND,2402,1989
89,"Nitin, S.",IM,IND,2400,1992
90,"Chakravarthi Reddy, M",IM,IND,2400,1996
91,"Tania, Sachdev",IM,IND,2397,1986
92,Rahul Srivatshav P,GM,IND,2395,2002
93,"Gusain, Himal",IM,IND,2392,1993
94,Raja Rithvik R,GM,IND,2391,2004
95,"Prince, Bajaj",IM,IND,2390,1998
96,"Satyapragyan, Swayangsu",IM,IND,2390,1982
97,"Ashwath, R.",FM,IND,2388,1991
98,Saurabh Anand,,IND,2385,2002
99,Dhulipalla Bala Chandra Prasad,IM,IND,2384,1996
100,"Ravi, Teja S.",IM,IND,2383,1993
