1,"Aravindh, Chithambaram VR.",GM,IND,2602,1999
2,"Karthikeyan, Murali",GM,IND,2596,1999
3,Nihal Sarin,GM,IND,2589,2004
4,"Puranik, Abhimanyu",GM,IND,2548,2000
5,Aryan Chopra,GM,IND,2547,2001
6,Praggnanandhaa R,GM,IND,2537,2005
7,Gukesh D,GM,IND,2536,2006
8,Erigaisi Arjun,GM,IND,2526,2003
9,"Iniyan, Pa",GM,IND,2512,2002
10,Visakh N R,GM,IND,2509,1999
11,Karthik Venkataraman,GM,IND,2505,1999
12,Harsha Bharathakoti,GM,IND,2497,2000
13,Prithu Gupta,GM,IND,2478,2004
14,"Sadhwani, Raunak",GM,IND,2475,2005
15,Sreeshwan Maralakshikari,IM,IND,2462,2006
16,Aditya Mittal,GM,IND,2457,2006
17,Arjun Kalyan,GM,IND,2445,2002
18,"Sammed Jaykumar, Shete",IM,IND,2432,1999
19,Raja Harshit,GM,IND,2432,2001
20,Divya Deshmukh,IM,IND,2431,2005
21,"Mendonca, Leon Luke",GM,IND,2427,2006
22,Muthaiah AL,IM,IND,2423,1999
23,Manu David Suthandram R,FM,IND,2418,2001
24,Harshavardhan G B,IM,IND,2411,2003
25,Harikrishnan.A.Ra,IM,IND,2407,2001
26,Rakesh Kumar Jena,IM,IND,2405,2001
27,Koustav Chatterjee,GM,IND,2404,2003
28,Rahul Srivatshav P,GM,IND,2395,2002
29,Raja Rithvik R,GM,IND,2391,2004
30,Saurabh Anand,,IND,2385,2002
31,"Nagpal, Vardaan",IM,IND,2378,2002
32,Subhayan Kundu,,IND,2373,2001
33,"Raghunandan, Kaumandur Srihari",IM,IND,2370,2001
34,Rajdeep Sarkar,IM,IND,2369,2001
35,Om Kharola,FM,IND,2368,2004
36,Soham Das,IM,IND,2367,2002
37,Anand Nadar,IM,IND,2366,2001
38,Srijit Paul,IM,IND,2361,2001
39,Pranav Anand,GM,IND,2359,2006
40,Rohith Krishna S,IM,IND,2358,2005
41,"Vaishali, Rameshbabu",IM,IND,2353,2001
42,"Ritviz, Parab",IM,IND,2343,1999
43,Samant Aditya S,GM,IND,2342,2006
44,Aronyak Ghosh,IM,IND,2340,2003
45,Sankalp Gupta,GM,IND,2339,2003
46,Anuj Shrivatri,IM,IND,2336,2004
47,Pranesh M,GM,IND,2335,2006
48,"Ajay Krishna, S",IM,IND,2335,1999
49,Krishnater Kushager,IM,IND,2329,2002
50,"Rathanvel, V S",IM,IND,2328,2001
51,"Mitrabha, Guha",GM,IND,2328,2001
52,Audi Ameya,IM,IND,2327,1999
53,Nitish Belurkar,IM,IND,2327,2001
54,Karthik Kumar Pradeep,FM,IND,2316,2004
55,Priyanka Nutakki,WGM,IND,2313,2002
56,Ajay Karthikeyan,IM,IND,2304,2004
57,Neelash Saha,IM,IND,2303,2002
58,Bharath Subramaniyam H,GM,IND,2301,2007
59,Siva Mahadevan,IM,IND,2298,2001
60,Shome Shiv,,IND,2298,2006
61,Balasubramaniam H,,IND,2298,2004
62,"Vignesh, B",,IND,2283,1999
63,"Mullick,Raahil",IM,IND,2275,2007
64,Aakanksha Hagawane,WIM,IND,2271,2000
65,Alok Sinha,,IND,2271,2004
66,Barath M,FM,IND,2264,2002
67,Srihari L R,IM,IND,2263,2005
68,"Kaustuv, Kundu",,IND,2263,1999
69,Rahul S,FM,IND,2261,2002
70,"Pranav, V",GM,IND,2258,2006
71,Sai Vishwesh.C,,IND,2257,1999
72,Moksh Amit Doshi,IM,IND,2256,2003
73,Wagh Suyog,FM,IND,2255,2000
74,Raahul V S,IM,IND,2252,2003
75,"Tejaswini, Sagar",WIM,IND,2246,2000
76,"Makhija, Aashna",WIM,IND,2245,2002
77,Ojas Kulkarni,FM,IND,2240,1999
78,Shah Rishab,CM,IND,2239,2003
79,Kushagra Mohan,IM,IND,2234,2004
80,Shelke Sankarsha,,IND,2221,2003
81,"Jeet, Jain",FM,IND,2219,2000
82,Panda Sambit,IM,IND,2218,2004
83,Shyam Prasad Reddy K,CM,IND,2215,2004
84,Jubin Jimmy,IM,IND,2214,2006
85,Saksham Rautela,IM,IND,2210,2004
86,Pranavananda V,,IND,2209,1999
87,Arjun C Krishnamachari,,IND,2209,2001
88,Hirthickkesh PR,,IND,2200,2001
89,Aaryan Varshney,FM,IND,2199,2005
90,"Arpita, Mukherjee",WIM,IND,2197,2001
91,Chitlange Sakshi,WIM,IND,2196,2000
92,Jayakumaar S,,IND,2196,2001
93,Panesar Vedant,FM,IND,2194,2003
94,Sapale Saloni,WIM,IND,2192,1999
95,Mahitosh Dey,FM,IND,2188,2005
96,"Aradhya, Garg",FM,IND,2178,2000
97,Prraneeth Vuppala,GM,IND,2177,2007
98,Hari Madhavan N B,IM,IND,2176,2003
99,Vantika Agrawal,IM,IND,2171,2002
100,"Harshal, Shahi",FM,IND,2161,1999
