1,Praggnanandhaa R,GM,IND,2747,2005
2,Gukesh D,GM,IND,2743,2006
3,Nihal Sarin,GM,IND,2698,2004
4,"Sadhwani, Raunak",GM,IND,2654,2005
5,"Mendonca, Leon Luke",GM,IND,2626,2006
6,Aditya Mittal,GM,IND,2607,2006
7,"Pranav, V",GM,IND,2604,2006
8,Bharath Subramaniyam H,GM,IND,2544,2007
9,Pranesh M,GM,IND,2538,2006
10,Raja Rithvik R,GM,IND,2532,2004
11,Pranav Anand,GM,IND,2519,2006
12,Samant Aditya S,GM,IND,2512,2006
13,Prraneeth Vuppala,GM,IND,2499,2007
14,Aaditya Dhingra,IM,IND,2495,2006
15,Srihari L R,IM,IND,2482,2005
16,Bhattacharyya Soham,,IND,2477,2005
17,Rohith Krishna S,IM,IND,2467,2005
18,Jubin Jimmy,IM,IND,2452,2006
19,Ilamparthi A R,IM,IND,2440,2009
20,Prithu Gupta,GM,IND,2440,2004
21,Divya Deshmukh,IM,IND,2427,2005
22,Sathvik Adiga,FM,IND,2413,2011
23,Harsh Suresh,FM,IND,2413,2007
24,"Vaz, Ethan",FM,IND,2411,2011
25,Ajay Karthikeyan,IM,IND,2401,2004
26,Srihari L,,IND,2400,2004
27,Aarav Dengla,FM,IND,2395,2009
28,Aditya Vikram Paul,FM,IND,2394,2007
29,Souhardo Basak,IM,IND,2393,2007
30,Anuj Shrivatri,IM,IND,2390,2004
31,Garv Gaur,FM,IND,2388,2007
32,Mayank Chakraborty,CM,IND,2386,2009
33,Velpula Sarayu,,IND,2382,2006
34,Jinan Jomon,,IND,2380,2004
35,Soham Kamotra,CM,IND,2379,2004
36,Panda Sambit,IM,IND,2378,2004
37,Namitbir Singh Walia,FM,IND,2376,2005
38,Tanmay Chopra,FM,IND,2375,2004
39,Borgaonkar Akshay,FM,IND,2372,2009
40,Apoorv Kamble,FM,IND,2369,2009
41,Kushagra Mohan,IM,IND,2367,2004
42,Arhan Chethan Anand,FM,IND,2366,2008
43,"Aswath, S",IM,IND,2364,2008
44,Aaryan Varshney,FM,IND,2364,2005
45,Daaevik Wadhawan,FM,IND,2363,2009
46,Savitha Shri B,WGM,IND,2363,2007
47,Arpan Das (Jr),,IND,2362,2004
48,Rohit S,,IND,2359,2007
49,Sanket Chakravarty,IM,IND,2357,2004
50,Dhruva Thota,,IND,2349,2009
51,Aayush Bhattacherjee,FM,IND,2347,2007
52,Shahil Dey,IM,IND,2332,2007
53,Aditya Varun Gampa,FM,IND,2325,2006
54,Goutham Krishna H,FM,IND,2324,2010
55,John Veny Akkarakaran,FM,IND,2322,2008
56,Saksham Rautela,IM,IND,2315,2004
57,Singh Ojasva,FM,IND,2314,2005
58,Ayush Sharma,FM,IND,2311,2005
59,Sourath Biswas,FM,IND,2305,2005
60,Jain Kashish Manoj,FM,IND,2305,2005
61,Adarsh Tripathi,FM,IND,2304,2005
62,Adireddy Arjun,FM,IND,2300,2010
63,Bagwe Gaurang,FM,IND,2300,2008
64,Nagarkatte Vedant,FM,IND,2299,2005
65,Aarav Sinha,FM,IND,2299,2009
66,Manish Anto Cristiano F,IM,IND,2293,2005
67,Kshatriya Nitin Vekhande,FM,IND,2292,2009
68,Arnav Maheshwari,,IND,2290,2007
69,Sahib Singh,FM,IND,2290,2008
70,Daakshin Arun,FM,IND,2281,2009
71,Potawad Anirudhha,,IND,2281,2005
72,"Krishnan, Ritvik",FM,IND,2277,2007
73,Rakshitta Ravi,WGM,IND,2271,2005
74,Sarveshwaran V,,IND,2266,2007
75,Lad Mandar Pradip,,IND,2258,2006
76,Sahithi Varshini M,FM,IND,2255,2007
77,Avinash Ramesh,IM,IND,2253,2004
78,Vrashank Chouhan,FM,IND,2250,2007
79,Harshad S,FM,IND,2247,2006
80,Alok Sinha,,IND,2245,2004
81,Jaiveer Mahendru,FM,IND,2244,2009
82,Aakash G,CM,IND,2241,2010
83,Garv Rai,,IND,2241,2007
84,Dhanush Bharadwaj,FM,IND,2238,2004
85,Aansh Nandan Nerurkar,CM,IND,2236,2012
86,Priansh Das,,IND,2234,2009
87,Bajaj Prakhar,,IND,2232,2006
88,Mahitosh Dey,FM,IND,2232,2005
89,Karthik Sai Ch,CM,IND,2226,2005
90,Pranav K P,,IND,2223,2009
91,Balasubramaniam H,,IND,2221,2004
92,Aashman Gupta,CM,IND,2219,2008
93,Vignesh B,,IND,2215,2004
94,Adithya A Chullikkad,CM,IND,2215,2008
95,Jake Shanty,,IND,2211,2011
96,Chitre Arush,CM,IND,2210,2010
97,Kushal O,,IND,2201,2005
98,Vignesh Advaith Vemula,,IND,2199,2009
99,Chidvilash Sai Surapaneni,,IND,2196,2008
100,Kolagatla Alana Meenakshi,WFM,IND,2194,2011
