1,"Mishra, Abhimanyu",GM,USA,2626,2009
2,"Yoo, Christopher Woojin",GM,USA,2583,2006
3,"Hong, Andrew",GM,USA,2542,2004
4,"He, Anthony",IM,USA,2529,2005
5,"Guo, Arthur",GM,USA,2529,2006
6,"Woodward, Andy",IM,USA,2515,2010
7,"Wang, Justin",IM,USA,2504,2005
8,"Daggupati, Balaji",GM,USA,2490,2005
9,"Mardov, Dimitar",IM,USA,2473,2008
10,"Hardaway, Brewington",FM,USA,2455,2009
11,"Ghazarian, Kirk",IM,USA,2454,2006
12,"Chasin, Nico",IM,USA,2446,2006
13,"Wang, Jason",IM,USA,2443,2006
14,"Vidyarthi, Vyom",IM,USA,2428,2007
15,"Liang, Jason",IM,USA,2412,2007
16,"Rorrer, Grayson",FM,USA,2409,2005
17,"Vivekananthan, Anish",IM,USA,2409,2004
18,"Zhou, Liran",IM,USA,2401,2008
19,"Huston, Gus",IM,USA,2401,2005
20,"Liu, Eric",FM,USA,2388,2009
21,"Shlyakhtenko, Robert",IM,USA,2384,2005
22,"Lu, Maximillian",IM,USA,2383,2005
23,"Deviprasath, Sharvesh",FM,USA,2381,2006
24,"Ngo, Bach",IM,USA,2376,2008
25,"Eidelman, Gabriel",FM,USA,2374,2005
26,"Levine, Joseph",IM,USA,2372,2007
27,"Lee, Alice",IM,USA,2368,2009
28,"Sivakumar, Shaaketh",FM,USA,2366,2008
29,"Sathish, Pranav",FM,USA,2353,2009
30,"Adewumi, Tanitoluwa",FM,USA,2351,2010
31,"Li, Eric",FM,USA,2351,2007
32,"Narayanan, Samrug",FM,USA,2347,2004
33,"Shen, Christopher",FM,USA,2341,2004
34,"Zhao, Erick",FM,USA,2340,2008
35,"Wang, Wesley",FM,USA,2338,2004
36,"Park, Evan",IM,USA,2338,2007
37,"Tsay, Vincent",FM,USA,2337,2005
38,"Wang, Isaac",FM,USA,2336,2009
39,"Wen, Tommy",FM,USA,2335,2007
40,"Luo, Terry",FM,USA,2333,2007
41,"Sheehan, Ethan",,USA,2328,2008
42,"Laddha, Shubh Jayesh",FM,USA,2324,2007
43,"Putnam, Liam",FM,USA,2323,2008
44,"Poliannikov, Danila",FM,USA,2321,2004
45,"Chen, Ryo",IM,USA,2318,2010
46,"Jiang, Lucas",,USA,2318,2011
47,"Shivakumar, Shawnak",FM,USA,2317,2008
48,"Zong, Davis",FM,USA,2317,2006
49,"Deng, Henry",FM,USA,2305,2010
50,"Hakobyan, Eduard",,USA,2297,2004
51,"Lee, Justin",FM,USA,2296,2006
52,"Kunka, Harshid",FM,USA,2294,2009
53,"Tang, Benjamin",FM,USA,2291,2010
54,"Wen, Teddie",FM,USA,2290,2006
55,"Sun, Ryan",FM,USA,2290,2011
56,"Sripada, Havish",FM,USA,2290,2009
57,"Vanapalli, Vishnu",FM,USA,2289,2007
58,"Liu, Aiden Q",FM,USA,2285,2011
59,"Mei, Austin",FM,USA,2280,2005
60,"Atwell, Rose",FM,USA,2279,2009
61,"Dixit, Arun",FM,USA,2279,2005
62,"Sivakumar, Shaashwath",,USA,2277,2004
63,"Clasby, Derek",,USA,2277,2006
64,"Xie, Bryan",FM,USA,2275,2009
65,"Melillo, Lucius",,USA,2274,2009
66,"Rama, Tejas",FM,USA,2265,2007
67,"Tang, Zoey",FM,USA,2262,2008
68,"Gutla, Aryan",FM,USA,2260,2008
69,"Nandhakumar, Vaseegaran",CM,USA,2253,2008
70,"Oberoi, Shelev",,USA,2253,2006
71,"Wu, Rochelle",FM,USA,2250,2006
72,"Johnson, Donald",FM,USA,2244,2006
73,"Bansal, Advay",FM,USA,2242,2010
74,"Espinosa, Pedro",CM,USA,2229,2004
75,"Maiti, Milind",FM,USA,2228,2005
76,"Chakrabarti, Brejesh",FM,USA,2227,2010
77,"Amburgy, Ryan",FM,USA,2223,2004
78,"Venkat, Raghav",,USA,2222,2004
79,"Arutla, Aditya",,USA,2219,2011
80,"Tang, Dylan",CM,USA,2217,2010
81,"Singh, Hersh",FM,USA,2217,2005
82,"Mou, Iris",WIM,USA,2216,2009
83,"Guo, Andrew",FM,USA,2215,2009
84,"Harish, Neeraj",CM,USA,2213,2009
85,"Guo, Ethan",CM,USA,2211,2013
86,"Ward, Noah",,USA,2211,2009
87,"Yan, Ruiyang",FM,USA,2209,2007
88,"Gasparyan, David",,USA,2207,2007
89,"Wang, Alex Yuxuan",,USA,2205,2007
90,"Yoo, Eugene",CM,USA,2205,2005
91,"Tahmassebi, Bijan",,USA,2203,2004
92,"Goktepe, Derin",CM,USA,2203,2008
93,"Mahajan, Rushaan",FM,USA,2202,2006
94,"Hebbar, Eshaan",CM,USA,2201,2011
95,"Chiang, Jacob",,USA,2199,2009
96,"Rajaram, Rohan",CM,USA,2198,2011
97,"Lu, Ming",IM,USA,2197,2006
98,"Jin, Ashton",,USA,2197,2004
99,"Pang, Qi",,USA,2195,2009
100,"Chen, Jonathan",FM,USA,2193,2007
